
Comand Not Found
> send
******** Send Data ********
JYRO_X	JYRO_Y	ACCE_X	ACCE_Z
0	-6	2	-5
0	-7	2	-5
0	-9	2	-9
0	-11	2	-9
0	-14	2	-14
0	-17	2	-17
0	-21	2	-21
0	-25	2	-25
0	-29	2	-29
0	-34	2	-34
0	-39	2	-39
0	-46	2	-46
0	-52	2	-52
0	-58	2	-58
1	-63	2	-63
1	-70	2	-70
2	-77	2	-77
2	-84	2	-84
3	-92	2	-92
2	-99	2	-99
2	-105	2	-105
2	-110	2	-110
2	-113	2	-113
2	-116	2	-116
3	-118	2	-116
3	-119	2	-119
4	-119	2	-119
4	-119	2	-119
5	-118	5	-119
5	-116	5	-116
5	-113	5	-113
4	-108	5	-108
3	-102	5	-102
2	-97	2	-97
2	-90	2	-90
1	-84	2	-84
2	-78	2	-78
1	-73	2	-73
1	-69	2	-69
0	-66	2	-66
0	-63	2	-63
-2	-60	-2	-60
-2	-57	-2	-57
-3	-54	-2	-54
-4	-53	-2	-54
-6	-53	-6	-54
-6	-54	-6	-54
-6	-57	-6	-57
-7	-60	-6	-60
-7	-63	-6	-63
-7	-66	-6	-66
-7	-68	-6	-66
-7	-70	-6	-70
-7	-70	-6	-70
-6	-70	-6	-70
-6	-70	-6	-70
-6	-71	-6	-70
-5	-71	-6	-70
-5	-72	-6	-70
-5	-72	-6	-70
-4	-72	-6	-70
-4	-71	-6	-70
-4	-69	-6	-70
-4	-67	-6	-67
-3	-63	-3	-63
-3	-58	-3	-58
-2	-53	-3	-53
-2	-48	-3	-48
-1	-43	-3	-43
-1	-39	-3	-39
-1	-34	-3	-34
0	-28	0	-28
0	-22	0	-22
0	-15	0	-15
0	-8	0	-8
0	-2	0	-2
1	3	0	3
2	9	0	9
2	14	0	14
3	19	3	19
3	25	3	25
3	32	3	32
3	39	3	39
4	46	3	46
6	53	6	53
7	59	6	59
8	66	6	66
9	71	9	71
10	75	9	75
11	78	9	78
11	79	9	78
11	81	9	81
11	83	9	81
11	85	9	85
12	88	12	88
12	90	12	88
12	90	12	88
12	89	12	88
12	88	12	88
11	86	12	88
10	85	12	85
8	84	8	85
7	82	8	82
6	82	8	82
6	82	8	82
6	83	8	82
6	84	8	82
5	85	5	85
5	86	5	85
4	87	5	85
3	89	5	89
2	90	2	89
2	93	2	93
1	96	2	96
2	98	2	96
2	101	2	101
1	102	2	101
2	103	2	101
2	103	2	101
1	103	2	101
1	103	2	101
0	104	2	104
0	105	2	104
0	107	2	107
0	109	2	107
0	109	2	107
0	109	2	107
0	108	2	107
0	108	2	107
0	107	2	107
-1	105	-1	107
-1	101	-1	101
-1	99	-1	101
-2	98	-1	98
-2	96	-1	98
-1	94	-1	94
-1	93	-1	94
0	92	-1	94
0	91	-1	91
1	91	-1	91
3	92	3	91
3	93	3	91
4	94	3	94
5	96	3	94
6	98	6	98
7	100	6	98
9	103	9	103
10	109	9	109
11	115	9	115
13	120	13	120
14	125	13	125
15	131	13	131
15	135	13	135
14	139	13	139
13	142	13	142
13	143	13	142
12	144	13	142
12	145	13	145
11	145	13	145
10	143	10	145
9	142	10	142
9	140	10	142
8	138	10	138
7	136	7	138
6	133	7	133
5	130	7	130
4	127	4	127
3	123	4	123
2	120	4	120
2	115	4	115
2	110	4	110
1	106	1	106
1	102	1	102
0	98	1	98
0	94	1	94
-1	91	1	91
-2	89	-2	91
-3	86	-2	86
-4	83	-2	83
-5	78	-5	78
-6	73	-5	73
-6	69	-5	69
-6	64	-5	64
-6	59	-5	59
-6	56	-5	56
