pwm値	ロリコン出力値	速度	20区間速度平均	20区間速度平均％表示		
7460	5	0	0.751243781	20.488 		
7480	5	0	0.76119403	20.760 		
7500	5	0	0.766169154	20.896 		
7520	5	1	0.766169154	20.896 		
7540	6	0	0.771144279	21.031 		
7560	6	0	0.776119403	21.167 		
7580	6	1	0.776119403	21.167 		
7600	7	0	0.781094527	21.303 		
7620	7	0	0.786069652	21.438 		
7640	7	1	0.786069652	21.438 		
7660	8	0	0.791044776	21.574 		
7680	8	1	0.7960199	21.710 		
7700	9	1	0.791044776	21.574 		
7720	10	0	0.786069652	21.438 		
7740	10	0	0.791044776	21.574 		
7760	10	0	0.7960199	21.710 		
7780	10	0	0.800995025	21.845 		
7800	10	0	0.820895522	22.388 		
7820	10	0	0.825870647	22.524 		
7840	10	0	0.825870647	22.524 		
7860	10	0	0.835820896	22.795 		
7880	10	0	0.84079602	22.931 		
7900	10	0	0.84079602	22.931 		
7920	10	0	0.850746269	23.202 		
7940	10	1	0.855721393	23.338 		
7960	11	0	0.850746269	23.202 		
7980	11	1	0.860696517	23.474 		
8000	12	0	0.860696517	23.474 		
8020	12	1	0.860696517	23.474 		
8040	13	0	0.865671642	23.609 		
8060	13	1	0.870646766	23.745 		
8080	14	1	0.865671642	23.609 		
8100	15	2	0.870646766	23.745 		
8120	17	1	0.870646766	23.745 		
8140	18	1	0.870646766	23.745 		
8160	19	0	0.865671642	23.609 		
8180	19	1	0.870646766	23.745 		
8200	20	0	0.875621891	23.881 		
8220	20	1	0.875621891	23.881 		
8240	21	0	0.880597015	24.016 		
8260	21	1	0.885572139	24.152 		
8280	22	1	0.880597015	24.016 		
8300	23	0	0.875621891	23.881 		
8320	23	1	0.880597015	24.016 		
8340	24	1	0.875621891	23.881 		
8360	25	0	0.870646766	23.745 		
8380	25	1	0.880597015	24.016 		
8400	26	0	0.880597015	24.016 		
8420	26	1	0.880597015	24.016 		
8440	27	0	0.875621891	23.881 		
8460	27	1	0.880597015	24.016 		
8480	28	0	0.875621891	23.881 		
8500	28	1	0.885572139	24.152 		
8520	29	1	0.885572139	24.152 		
8540	30	0	0.880597015	24.016 		
8560	30	1	0.880597015	24.016 		
8580	31	0	0.880597015	24.016 		
8600	31	1	0.885572139	24.152 		
8620	32	1	0.895522388	24.423 		
8640	33	0	0.895522388	24.423 		
8660	33	1	0.905472637	24.695 		
8680	34	1	0.900497512	24.559 		
8700	35	0	0.905472637	24.695 		
8720	35	1	0.910447761	24.830 		
8740	36	1	0.905472637	24.695 		
8760	37	0	0.910447761	24.830 		
8780	37	1	0.92039801	25.102 		
8800	38	1	0.92039801	25.102 		
8820	39	0	0.915422886	24.966 		
8840	39	1	0.925373134	25.237 		
8860	40	1	0.925373134	25.237 		
8880	41	1	0.92039801	25.102 		
8900	42	1	0.92039801	25.102 		
8920	43	0	0.925373134	25.237 		
8940	43	1	0.935323383	25.509 		
8960	44	1	0.940298507	25.645 		
8980	45	1	0.940298507	25.645 		
9000	46	0	0.930348259	25.373 		
9020	46	1	0.930348259	25.373 		
9040	47	-1	0.925373134	25.237 		
9060	46	1	0.940298507	25.645 		
9080	47	1	0.955223881	26.052 		
9100	48	1	0.960199005	26.187 		
9120	49	1	0.960199005	26.187 		
9140	50	1	0.955223881	26.052 		
9160	51	1	0.960199005	26.187 		
9180	52	1	0.965174129	26.323 		
9200	53	1	0.965174129	26.323 		
9220	54	1	0.960199005	26.187 		
9240	55	0	0.965174129	26.323 		
9260	55	-1	0.970149254	26.459 		
9280	54	1	0.975124378	26.594 		
9300	55	1	0.975124378	26.594 		
9320	56	1	0.970149254	26.459 		
9340	57	1	0.975124378	26.594 		
9360	58	1	0.975124378	26.594 		
9380	59	1	0.970149254	26.459 		
9400	60	1	0.965174129	26.323 		
9420	61	1	0.970149254	26.459 		
9440	62	1	0.970149254	26.459 		
9460	63	1	0.965174129	26.323 		
9480	64	0	0.970149254	26.459 		
9500	64	-1	0.985074627	26.866 		
9520	63	1	1.004975124	27.408 		
9540	64	1	1.004975124	27.408 		
9560	65	1	1	27.273 		
9580	66	1	1.004975124	27.408 		
9600	67	1	1.004975124	27.408 		
9620	68	1	1	27.273 		
9640	69	1	1.004975124	27.408 		
9660	70	1	1.004975124	27.408 		
9680	71	1	1	27.273 		
9700	72	1	1.004975124	27.408 		
9720	73	1	1.004975124	27.408 		
9740	74	1	1.009950249	27.544 		
9760	75	1	1.014925373	27.680 		
9780	76	1	1.014925373	27.680 		
9800	77	1	1.014925373	27.680 		
9820	78	1	1.019900498	27.815 		
9840	79	1	1.009950249	27.544 		
9860	80	1	1.009950249	27.544 		
9880	81	0	1.014925373	27.680 		
9900	81	1	1.024875622	27.951 		
9920	82	1	1.019900498	27.815 		
9940	83	1	1.014925373	27.680 		
9960	84	1	1.019900498	27.815 		
9980	85	1	1.019900498	27.815 		
10000	86	1	1.014925373	27.680 		
10020	87	0	1.019900498	27.815 		
10040	87	1	1.024875622	27.951 		
10060	88	1	1.019900498	27.815 		
10080	89	1	1.014925373	27.680 		
10100	90	1	1.019900498	27.815 		
10120	91	0	1.019900498	27.815 		
10140	91	1	1.019900498	27.815 		
10160	92	1	1.024875622	27.951 		
10180	93	1	1.024875622	27.951 		
10200	94	1	1.019900498	27.815 		
10220	95	0	1.014925373	27.680 		
10240	95	1	1.024875622	27.951 		
10260	96	1	1.024875622	27.951 		
10280	97	1	1.029850746	28.087 		
10300	98	2	1.029850746	28.087 		
10320	100	1	1.019900498	27.815 		
10340	101	2	1.014925373	27.680 		
10360	103	0	1.014925373	27.680 		
10380	103	0	1.019900498	27.815 		
10400	103	1	1.019900498	27.815 		
10420	104	2	1.024875622	27.951 		
10440	106	2	1.019900498	27.815 		
10460	108	0	1.009950249	27.544 		
10480	108	1	1.009950249	27.544 		
10500	109	0	1.009950249	27.544 		
10520	109	1	1.009950249	27.544 		
10540	110	0	1.004975124	27.408 		
10560	110	1	1.014925373	27.680 		
10580	111	2	1.014925373	27.680 		
10600	113	1	1.004975124	27.408 		
10620	114	1	1.009950249	27.544 		
10640	115	0	1.009950249	27.544 		
10660	115	1	1.009950249	27.544 		
10680	116	2	1.014925373	27.680 		
10700	118	1	1.009950249	27.544 		
10720	119	1	1.014925373	27.680 		
10740	120	1	1.019900498	27.815 		
10760	121	0	1.024875622	27.951 		
10780	121	1	1.029850746	28.087 		
10800	122	1	1.024875622	27.951 		
10820	123	0	1.019900498	27.815 		
10840	123	2	1.019900498	27.815 		
10860	125	1	1.009950249	27.544 		
10880	126	2	1.004975124	27.408 		
10900	128	1	0.995024876	27.137 		
10920	129	2	0.990049751	27.001 		
10940	131	1	0.980099502	26.730 		
10960	132	1	0.975124378	26.594 		
10980	133	0	0.985074627	26.866 		
11000	133	1	0.995024876	27.137 		
11020	134	0	1	27.273 		
11040	134	2	1.009950249	27.544 		
11060	136	1	1.004975124	27.408 		
11080	137	2	1.004975124	27.408 		
11100	139	1	1.014925373	27.680 		
11120	140	2	1.009950249	27.544 		
11140	142	1	1	27.273 		
11160	143	2	1.009950249	27.544 		
11180	145	1	1.009950249	27.544 		
11200	146	-1	1.004975124	27.408 		
11220	145	0	1.024875622	27.951 		
11240	145	0	1.034825871	28.223 		
11260	145	1	1.034825871	28.223 		
11280	146	0	1.034825871	28.223 		
11300	146	2	1.039800995	28.358 		
11320	148	1	1.034825871	28.223 		
11340	149	0	1.044776119	28.494 		
11360	149	2	1.044776119	28.494 		
11380	151	2	1.044776119	28.494 		
11400	153	2	1.054726368	28.765 		
11420	155	1	1.049751244	28.630 		
11440	156	0	1.054726368	28.765 		
11460	156	0	1.054726368	28.765 		
11480	156	2	1.069651741	29.172 		
11500	158	1	1.059701493	28.901 		
11520	159	0	1.059701493	28.901 		
11540	159	2	1.069651741	29.172 		
11560	161	1	1.059701493	28.901 		
11580	162	0	1.059701493	28.901 		
11600	162	2	1.064676617	29.037 		
11620	164	1	1.054726368	28.765 		
11640	165	0	1.054726368	28.765 		
11660	165	2	1.064676617	29.037 		
11680	167	1	1.059701493	28.901 		
11700	168	0	1.074626866	29.308 		
11720	168	0	1.084577114	29.579 		
11740	168	1	1.089552239	29.715 		
11760	169	1	1.084577114	29.579 		
11780	170	1	1.094527363	29.851 		
11800	171	4	1.089552239	29.715 		
11820	175	1	1.084577114	29.579 		
11840	176	0	1.084577114	29.579 		
11860	176	2	1.094527363	29.851 		
11880	178	1	1.099502488	29.986 		
11900	179	0	1.094527363	29.851 		
11920	179	2	1.109452736	30.258 		
11940	181	1	1.104477612	30.122 		
11960	182	0	1.109452736	30.258 		
11980	182	2	1.124378109	30.665 		
12000	184	1	1.119402985	30.529 		
12020	185	0	1.124378109	30.665 		
12040	185	2	1.129353234	30.801 		
12060	187	1	1.129353234	30.801 		
12080	188	0	1.139303483	31.072 		
12100	188	2	1.144278607	31.208 		
12120	190	2	1.144278607	31.208 		
12140	192	1	1.149253731	31.343 		
12160	193	0	1.144278607	31.208 		
12180	193	1	1.154228856	31.479 		
12200	194	2	1.154228856	31.479 		
12220	196	0	1.144278607	31.208 		
12240	196	2	1.154228856	31.479 		
12260	198	1	1.15920398	31.615 		
12280	199	0	1.15920398	31.615 		
12300	199	0	1.169154229	31.886 		
12320	199	1	1.184079602	32.293 		
12340	200	0	1.184079602	32.293 		
12360	200	0	1.184079602	32.293 		
12380	200	2	1.194029851	32.564 		
12400	202	1	1.199004975	32.700 		
12420	203	0	1.199004975	32.700 		
12440	203	0	1.208955224	32.972 		
12460	203	1	1.223880597	33.379 		
12480	204	0	1.223880597	33.379 		
12500	204	2	1.228855721	33.514 		
12520	206	1	1.228855721	33.514 		
12540	207	0	1.23880597	33.786 		
12560	207	0	1.243781095	33.921 		
12580	207	1	1.248756219	34.057 		
12600	208	1	1.253731343	34.193 		
12620	209	3	1.263681592	34.464 		
12640	212	1	1.253731343	34.193 		
12660	213	2	1.248756219	34.057 		
12680	215	0	1.253731343	34.193 		
12700	215	2	1.268656716	34.600 		
12720	217	1	1.268656716	34.600 		
12740	218	0	1.273631841	34.735 		
12760	218	2	1.293532338	35.278 		
12780	220	2	1.288557214	35.142 		
12800	222	1	1.288557214	35.142 		
12820	223	0	1.293532338	35.278 		
12840	223	2	1.303482587	35.550 		
12860	225	1	1.308457711	35.685 		
12880	226	0	1.308457711	35.685 		
12900	226	1	1.31840796	35.957 		
12920	227	2	1.328358209	36.228 		
12940	229	2	1.328358209	36.228 		
12960	231	2	1.328358209	36.228 		
12980	233	1	1.328358209	36.228 		
13000	234	-1	1.328358209	36.228 		
13020	233	0	1.348258706	36.771 		
13040	233	0	1.353233831	36.906 		
13060	233	2	1.358208955	37.042 		
13080	235	4	1.353233831	36.906 		
13100	239	2	1.343283582	36.635 		
13120	241	1	1.348258706	36.771 		
13140	242	0	1.348258706	36.771 		
13160	242	2	1.353233831	36.906 		
13180	244	2	1.353233831	36.906 		
13200	246	1	1.353233831	36.906 		
13220	247	0	1.343283582	36.635 		
13240	247	2	1.358208955	37.042 		
13260	249	1	1.358208955	37.042 		
13280	250	0	1.368159204	37.313 		
13300	250	1	1.383084577	37.720 		
13320	251	0	1.393034826	37.992 		
13340	251	2	1.39800995	38.128 		
13360	253	1	1.393034826	37.992 		
13380	254	0	1.393034826	37.992 		
13400	254	0	1.39800995	38.128 		
13420	254	2	1.402985075	38.263 		
13440	256	1	1.39800995	38.128 		
13460	257	0	1.407960199	38.399 		
13480	257	2	1.422885572	38.806 		
13500	259	3	1.427860697	38.942 		
13520	262	3	1.422885572	38.806 		
13540	265	1	1.417910448	38.670 		
13560	266	0	1.422885572	38.806 		
13580	266	2	1.437810945	39.213 		
13600	268	1	1.44278607	39.349 		
13620	269	0	1.452736318	39.620 		
13640	269	2	1.467661692	40.027 		
13660	271	1	1.472636816	40.163 		
13680	272	0	1.472636816	40.163 		
13700	272	2	1.47761194	40.299 		
13720	274	1	1.472636816	40.163 		
13740	275	2	1.472636816	40.163 		
13760	277	2	1.467661692	40.027 		
13780	279	1	1.462686567	39.891 		
13800	280	1	1.472636816	40.163 		
13820	281	2	1.472636816	40.163 		
13840	283	-1	1.47761194	40.299 		
13860	282	1	1.487562189	40.570 		
13880	283	2	1.487562189	40.570 		
13900	285	2	1.482587065	40.434 		
13920	287	0	1.47761194	40.299 		
13940	287	0	1.47761194	40.299 		
13960	287	2	1.492537313	40.706 		
13980	289	1	1.487562189	40.570 		
14000	290	0	1.487562189	40.570 		
14020	290	2	1.492537313	40.706 		
14040	292	1	1.497512438	40.841 		
14060	293	0	1.507462687	41.113 		
14080	293	0	1.52238806	41.520 		
14100	293	2	1.537313433	41.927 		
14120	295	1	1.542288557	42.062 		
14140	296	0	1.537313433	41.927 		
14160	296	2	1.552238806	42.334 		
14180	298	1	1.547263682	42.198 		
14200	299	0	1.547263682	42.198 		
14220	299	0	1.552238806	42.334 		
14240	299	2	1.562189055	42.605 		
14260	301	1	1.55721393	42.469 		
14280	302	2	1.55721393	42.469 		
14300	304	1	1.552238806	42.334 		
14320	305	0	1.552238806	42.334 		
14340	305	0	1.552238806	42.334 		
14360	305	2	1.567164179	42.741 		
14380	307	1	1.562189055	42.605 		
14400	308	0	1.55721393	42.469 		
14420	308	2	1.572139303	42.877 		
14440	310	1	1.582089552	43.148 		
14460	311	0	1.592039801	43.419 		
14480	311	0	1.597014925	43.555 		
14500	311	1	1.60199005	43.691 		
14520	312	0	1.60199005	43.691 		
14540	312	0	1.606965174	43.826 		
14560	312	2	1.611940299	43.962 		
14580	314	1	1.606965174	43.826 		
14600	315	0	1.616915423	44.098 		
14620	315	2	1.631840796	44.505 		
14640	317	1	1.626865672	44.369 		
14660	318	0	1.631840796	44.505 		
14680	318	2	1.646766169	44.912 		
14700	320	1	1.651741294	45.047 		
14720	321	2	1.651741294	45.047 		
14740	323	2	1.646766169	44.912 		
14760	325	2	1.651741294	45.047 		
14780	327	1	1.646766169	44.912 		
14800	328	0	1.646766169	44.912 		
14820	328	0	1.651741294	45.047 		
